# nucleoli targets
1 : [382, 202]
2 : [727, 212]
3 : [97, 372]
4 : [789, 445]
5 : [1168, 543]
6 : [1360, 567]
7 : [617, 591]
8 : [105, 662]
9 : [238, 883]
10 : [1102, 963]
# targets in center of empty nuclei
11 : [172, 39]
12 : [768, 54]
13 : [1014, 79]
14 : [457, 72]
15 : [1222, 103]
16 : [971, 275]
17 : [1250, 373]
18 : [587, 442]
19 : [318, 499]
20 : [935, 565]
21 : [1004, 704]
22 : [801, 785]
23 : [1172, 802]
24 : [555, 831]
25 : [1296, 850]
26 : [926, 934]
27 : [714, 991]
